i	x_i	y_i (Heun)	y_i (exact)	abs error
0	1.000	1.000	1.000	0.000
1	2.000	1.500	1.188	0.312
2	3.000	2.583	2.333	0.250
3	4.000	4.257	4.047	0.210
4	5.000	6.467	6.280	0.187
5	6.000	9.194	9.021	0.173
6	7.000	12.429	12.265	0.163
7	8.000	16.168	16.012	0.157
8	9.000	20.411	20.259	0.152
9	10.000	25.156	25.008	0.148
