k	x_k	x	||x_k-x||	lambda_k	lambda	|lambda_k-lambda|
1	[+1.000, -0.333, -0.667]	[1, 0, -1]	0.471	1.357	3	1.643
2	[+1.000, +0.167, -0.167]	[1, 0, -1]	0.850	2.553	3	0.447
3	[+1.000, -0.067, -0.533]	[1, 0, -1]	0.471	2.383	3	0.617
4	[+1.000, +0.028, -0.528]	[1, 0, -1]	0.473	2.729	3	0.271
5	[+1.000, -0.011, -0.667]	[1, 0, -1]	0.334	2.729	3	0.271
6	[+1.000, +0.004, -0.736]	[1, 0, -1]	0.264	2.844	3	0.156
7	[+1.000, -0.001, -0.812]	[1, 0, -1]	0.188	2.881	3	0.119
8	[+1.000, +0.001, -0.864]	[1, 0, -1]	0.136	2.924	3	0.076
9	[+1.000, -0.000, -0.906]	[1, 0, -1]	0.094	2.948	3	0.052
10	[+1.000, +0.000, -0.935]	[1, 0, -1]	0.065	2.966	3	0.034
